speciesname,lon,lat
Microgobius gulosus,-93.08989716,29.74850845
Microgobius gulosus,-97.79373169,22.27995873
Microgobius gulosus,-92.61405182,29.01935005
Microgobius gulosus,-97.0777359,27.28079605
Microgobius gulosus,-89.63834,30.28583
Microgobius gulosus,-89.63223,30.26861
Microgobius gulosus,-90.715,29.38278
Microgobius gulosus,-88.88445,30.23917
Microgobius gulosus,-90.66889,29.06472
Microgobius gulosus,-85.71167,30.12056
Microgobius gulosus,-90.65083,29.30667
Microgobius gulosus,-90.65083,29.30667
Microgobius gulosus,-82.735,28.955
Microgobius gulosus,-82.077561,26.659665
Microgobius gulosus,-82.766667,28.95
Microgobius gulosus,-82.766667,28.95
Microgobius gulosus,-82.766667,28.95
Microgobius gulosus,-82.766667,28.95
Microgobius gulosus,-82.766667,28.95
Microgobius gulosus,-82.682769,27.713052
Microgobius gulosus,-82.632169,27.759545
Microgobius gulosus,-82.730191,27.64913
Microgobius gulosus,-82.633507,27.760453
Microgobius gulosus,-82.682769,27.713052
Microgobius gulosus,-82.629554,27.794098
Microgobius gulosus,-82.635047,27.740327
Microgobius gulosus,-82.682769,27.713052
Microgobius gulosus,-82.682769,27.713052
Microgobius gulosus,-82.641613,27.84257
Microgobius gulosus,-82.766667,28.95
Microgobius gulosus,-82.699943,27.634874
Microgobius gulosus,-82.628177,27.752025
Microgobius gulosus,-82.685083,27.707752
Microgobius gulosus,-82.592021,27.876885
Microgobius gulosus,-82.583333,24.683333
Microgobius gulosus,-82.599041,28.882521
Microgobius gulosus,-82.629855,27.385867
Microgobius gulosus,-82.613633,27.376074
Microgobius gulosus,-82.683055,27.709167
Microgobius gulosus,-80.638813,28.348787
Microgobius gulosus,-80.63903,28.340591
Microgobius gulosus,-80.613649,28.17716
Microgobius gulosus,-81.891877,26.656587
Microgobius gulosus,-82.695836,27.664929
Microgobius gulosus,-82.674121,27.650081
Microgobius gulosus,-82.71577,27.6496
Microgobius gulosus,-82.683922,27.709886
Microgobius gulosus,-80.217405,27.232943
Microgobius gulosus,-80.371864,27.646925
Microgobius gulosus,-81.607332,29.918489
Microgobius gulosus,-80.53505,25.194267
Microgobius gulosus,-82.503666,27.48465
Microgobius gulosus,-80.951933,29.07
Microgobius gulosus,-82.747833,29.010333
Microgobius gulosus,-86.602333,30.4495
Microgobius gulosus,-83.303833,29.456166
Microgobius gulosus,-80.510666,27.822
Microgobius gulosus,-82.494766,27.468616
Microgobius gulosus,-82.527416,27.497116
Microgobius gulosus,-82.40845,27.66812
Microgobius gulosus,-82.4035,27.66468
Microgobius gulosus,-82.4035,27.66468
Microgobius gulosus,-82.4035,27.66515
Microgobius gulosus,-82.4035,27.66515
Microgobius gulosus,-92.8314,29.6903
Microgobius gulosus,-93.9369,29.7603
Microgobius gulosus,-88.6877778,30.2402778
Microgobius gulosus,-81.3311111,30.0283333
Microgobius gulosus,-86.4686111,30.4958333
Microgobius gulosus,-87.4022222,30.3125
Microgobius gulosus,-87.4022222,30.3125
Microgobius gulosus,-86.4163889,30.5058333
Microgobius gulosus,-88.1066667,30.2658333
Microgobius gulosus,-88.0786111,30.2513889
Microgobius gulosus,-97.341667,27.475
Microgobius gulosus,-97.558333,27.308333
Microgobius gulosus,-97.258333,27.575
Microgobius gulosus,-87.8283,30.3933
Microgobius gulosus,-87.8283,30.3933
Microgobius gulosus,-87.9733,30.6767
Microgobius gulosus,-87.9733,30.6767
Microgobius gulosus,-87.9733,30.6767
Microgobius gulosus,-87.9733,30.6767
Microgobius gulosus,-87.9733,30.6767
Microgobius gulosus,-87.9733,30.6767
Microgobius gulosus,-87.9733,30.6767
Microgobius gulosus,-87.3983,30.4167
Microgobius gulosus,-87.7367,30.2367
Microgobius gulosus,-87.7367,30.2367
Microgobius gulosus,-87.7367,30.2367
Microgobius gulosus,-88.02,30.505
Microgobius gulosus,-87.7483,30.2933
Microgobius gulosus,-87.7483,30.2933
Microgobius gulosus,-87.7483,30.2933
Microgobius gulosus,-87.9319444,30.6655556
Microgobius gulosus,-84.8475,29.6766667
Microgobius gulosus,-88.86195,29.85139
Microgobius gulosus,-88.86333,29.7775
Microgobius gulosus,-88.86333,29.7775
Microgobius gulosus,-88.86333,29.7775
Microgobius gulosus,-88.86333,29.7775
Microgobius gulosus,-88.86333,29.7775
Microgobius gulosus,-88.84834,30.01278
Microgobius gulosus,-88.86555,29.84972
Microgobius gulosus,-88.86555,29.84972
Microgobius gulosus,-88.86333,29.7775
Microgobius gulosus,-88.86333,29.7775
Microgobius gulosus,-88.86555,29.84972
Microgobius gulosus,-88.87945,29.89389
Microgobius gulosus,-89.92973,30.09389
Microgobius gulosus,-87.372597,30.317182
Microgobius gulosus,-87.21419,30.40927
Microgobius gulosus,-88.81667,29.85
Microgobius gulosus,-88.821565,29.8798
Microgobius gulosus,-89.86111,30.145
Microgobius gulosus,-89.7625,30.19139
Microgobius gulosus,-89.72028,30.16861
Microgobius gulosus,-89.425,30.32972
Microgobius gulosus,-89.43528,30.39222
Microgobius gulosus,-89.425,30.32972
Microgobius gulosus,-85.71167,30.12056
Microgobius gulosus,-90.65083,29.30667
Microgobius gulosus,-90.65083,29.30667
Microgobius gulosus,-90.66889,29.06472
Microgobius gulosus,-90.36945,30.04528
Microgobius gulosus,-90.36389,30.02222
Microgobius gulosus,-90.715,29.38278
Microgobius gulosus,-89.63834,30.28583
Microgobius gulosus,-89.63223,30.26861
Microgobius gulosus,-88.88445,30.23917
Microgobius gulosus,-89.65611,30.19778
Microgobius gulosus,-88.77194214,30.39666748
Microgobius gulosus,-88.77194214,30.39666748
Microgobius gulosus,-89.95611,30.26139
Microgobius gulosus,-85.26472,29.685
Microgobius gulosus,-90.36945,30.04528
Microgobius gulosus,-90.36389,30.02222
Microgobius gulosus,-80.34084,27.50472
Microgobius gulosus,-89.94167,30.07333
Microgobius gulosus,-81.6508333,29.4169444
Microgobius gulosus,-81.848355,26.351677
Microgobius gulosus,-83.0377778,29.1388889
Microgobius gulosus,-83.061022,29.129076
Microgobius gulosus,-83.073764,29.096539
Microgobius gulosus,-83.050725,29.134299
Microgobius gulosus,-83.050756,29.134409
